Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 530",-4.152158955429e+01,-2.089322089650e+02,5.229836666900e+00,-4.345721954625e+01,-2.086782907678e+02,5.227224615871e+00,-1.935629991960e+00,2.539181972522e-01,-2.612051028909e-03
"                 531",-4.154352491679e+01,-2.088520806275e+02,5.214932053354e+00,-4.347901758015e+01,-2.085982652916e+02,5.212391766895e+00,-1.935492663357e+00,2.538153358933e-01,-2.540286458453e-03
"                 532",-4.155991649576e+01,-2.086864270758e+02,5.217576753529e+00,-4.349532901520e+01,-2.084327363139e+02,5.215023967320e+00,-1.935412519434e+00,2.536907619470e-01,-2.552786208866e-03
"                 533",-4.157161685872e+01,-2.084515493569e+02,5.245907923034e+00,-4.350705452770e+01,-2.081979825511e+02,5.243262491845e+00,-1.935437668979e+00,2.535668057401e-01,-2.645431189445e-03
"                 534",-4.157410848923e+01,-2.081683638363e+02,5.305726224892e+00,-4.350967441442e+01,-2.079149154578e+02,5.302936916931e+00,-1.935565925189e+00,2.534483784855e-01,-2.789307961483e-03
"                 535",-4.156535272784e+01,-2.078617950742e+02,5.394157421107e+00,-4.350112298576e+01,-2.076084237684e+02,5.391185030126e+00,-1.935770257919e+00,2.533713057210e-01,-2.972390981660e-03
"                 536",-4.154156439345e+01,-2.075267361143e+02,5.498144082417e+00,-4.347758744085e+01,-2.072733973594e+02,5.494956494351e+00,-1.936023047400e+00,2.533387548260e-01,-3.187588065393e-03
"                 537",-4.150354027079e+01,-2.071656564105e+02,5.600378253348e+00,-4.343971518867e+01,-2.069123563552e+02,5.596971059862e+00,-1.936174917872e+00,2.533000553227e-01,-3.407193485720e-03
"                 538",-4.146114564329e+01,-2.068192657740e+02,5.694527284083e+00,-4.339753614429e+01,-2.065659389523e+02,5.690888048927e+00,-1.936390500997e+00,2.533268216923e-01,-3.639235156066e-03
"                 539",-4.142200468035e+01,-2.065108363927e+02,5.777120135952e+00,-4.335853346160e+01,-2.062574428888e+02,5.773281992285e+00,-1.936528781251e+00,2.533935039490e-01,-3.838143666806e-03
"                 540",-4.139194124305e+01,-2.062654949574e+02,5.845945772342e+00,-4.332866683756e+01,-2.060119832664e+02,5.841902436870e+00,-1.936725594511e+00,2.535116910111e-01,-4.043335472789e-03
"                 541",-4.137095096245e+01,-2.060985129748e+02,5.901244809142e+00,-4.330792396922e+01,-2.058448623859e+02,5.897009821761e+00,-1.936973006767e+00,2.536505888473e-01,-4.234987381676e-03
"                 542",-4.135796337120e+01,-2.060139775771e+02,5.941725187572e+00,-4.329520269958e+01,-2.057601557890e+02,5.937289428786e+00,-1.937239328380e+00,2.538217881145e-01,-4.435758785571e-03
"                 543",-4.135254056338e+01,-2.060171608756e+02,5.967724433880e+00,-4.329001209218e+01,-2.057631649378e+02,5.963170017194e+00,-1.937471528802e+00,2.539959378046e-01,-4.554416686002e-03
"                 544",-4.135312630003e+01,-2.061032730178e+02,5.974315433290e+00,-4.329083453738e+01,-2.058490779585e+02,5.969685274527e+00,-1.937708237351e+00,2.541950593116e-01,-4.630158763328e-03
"                 545",-4.136183018935e+01,-2.062598482047e+02,5.960365180507e+00,-4.329974201127e+01,-2.060055040303e+02,5.955685443265e+00,-1.937911821928e+00,2.543441744393e-01,-4.679737242123e-03
"                 546",-4.138588824681e+01,-2.064855198385e+02,5.930672359005e+00,-4.332405882223e+01,-2.062309912225e+02,5.925996114420e+00,-1.938170575425e+00,2.545286159484e-01,-4.676244584631e-03
"                 547",-4.142060918522e+01,-2.067481467531e+02,5.890594211309e+00,-4.335899227165e+01,-2.064934786125e+02,5.886015916426e+00,-1.938383086429e+00,2.546681405308e-01,-4.578294882745e-03
"                 548",-4.145882243325e+01,-2.070194668858e+02,5.839342175419e+00,-4.339734648815e+01,-2.067646897044e+02,5.834897231166e+00,-1.938524054907e+00,2.547771813776e-01,-4.444944252442e-03
"                 549",-4.149121187713e+01,-2.072658867371e+02,5.771388420682e+00,-4.342988834564e+01,-2.070110040162e+02,5.767105489253e+00,-1.938676468515e+00,2.548827208357e-01,-4.282931429777e-03
"                 550",-4.151435862086e+01,-2.074736770030e+02,5.691756490759e+00,-4.345316572086e+01,-2.072187223414e+02,5.687648315649e+00,-1.938807100004e+00,2.549546615775e-01,-4.108175110455e-03
"                 551",-4.152892710392e+01,-2.076408107198e+02,5.609517464646e+00,-4.346784332243e+01,-2.073857956925e+02,5.605581306298e+00,-1.938916218501e+00,2.550150273573e-01,-3.936158347908e-03
"                 552",-4.153789924802e+01,-2.077748431445e+02,5.533077067491e+00,-4.347683744242e+01,-2.075197885611e+02,5.529256759696e+00,-1.938938194398e+00,2.550545834542e-01,-3.820307794243e-03
"                 553",-4.154855410004e+01,-2.078889621581e+02,5.469619562492e+00,-4.348746257167e+01,-2.076338568431e+02,5.465843332905e+00,-1.938908471628e+00,2.551053149879e-01,-3.776229587459e-03
"                 554",-4.155518255670e+01,-2.079615504787e+02,5.419134789637e+00,-4.349409800779e+01,-2.077063636162e+02,5.415335916763e+00,-1.938915451094e+00,2.551868624497e-01,-3.798872873477e-03
